id: 51730bbd-9bce-4d28-ae30-580e2ddd1be8, lat: 50.43483821, long:11.96975958, 
id: e1e9595e-d0b5-41c4-a1a7-b52a9b149566, lat: 50.20375316, long:14.86566993, 
id: 8ed76a7b-8e17-4649-93e1-571d3a2aea85, lat: 54.78226619, long:18.08199908, 
id: 7eb75eb3-9b53-48dc-9217-48442e2aa0b9, lat: 53.06493655, long:10.5414042, 
id: e87ee40c-15b5-468e-84bb-8edd25eea5ec, lat: 52.07375419, long:10.3672036, 
id: d6041ca3-a518-4ab8-bd2e-94a0a774875e, lat: 53.70201136, long:18.40872602, 
id: b86d6784-7b41-4e3c-971a-5ca2ce8ee895, lat: 52.68468761, long:14.87267413, 
id: 19ba0b8d-e0c9-4830-bb0b-ea17cc41104b, lat: 54.56080146, long:9.6582696, 
id: 2c38d7e2-b938-4eaa-a6ba-0713b99de0c3, lat: 50.97296317, long:9.84528273, 
id: ee100da3-25d6-44d0-b222-02dd6853e059, lat: 50.64759062, long:15.90607041, 
id: be259cb5-8ede-47bc-9015-413596955376, lat: 50.43938569, long:11.76836342, 
id: b0113a1a-c9bd-4841-969e-0b576b60db39, lat: 54.16570064, long:16.28227968, 
id: 129b3b89-1b29-4aaa-a30c-b7e1a1dd46a0, lat: 52.48658232, long:13.79447524, 
id: 800ccb5d-a13a-4c95-9900-8c754501931e, lat: 53.97252727, long:9.14705796, 
id: eded2010-3a5e-48dd-929b-259e2a11382b, lat: 51.40099456, long:13.20566275, 
id: 727da96a-5191-4c7d-8695-8ba909ad36bc, lat: 54.02406359, long:14.1330011, 
id: 606c98ab-bb09-4338-bd4d-5b12a071bbba, lat: 50.71986498, long:15.45372238, 
id: 114db561-6bec-49b6-99aa-3ad9bdd7cdea, lat: 51.23365879, long:11.70082411, 
id: 24a42267-9ec7-4368-b735-568c66cb0437, lat: 50.55186617, long:10.20352593, 
id: 4ea99c00-d741-4766-ba74-b76de6e11525, lat: 51.95220296, long:11.96221878, 
id: 8c39e574-72c9-4d33-b2b7-02823657dc93, lat: 53.11228092, long:15.03879512, 
id: 77db6896-10a8-4d72-babc-209c49bd430a, lat: 53.15325067, long:8.34508418, 
id: 2338d332-dc05-4e86-95c2-9d18e0da5307, lat: 52.01665451, long:8.25635581, 
id: c887bbc1-11d8-4bc4-8810-62ca839a7428, lat: 51.51047292, long:16.08749386, 
id: 76902316-aaa5-46a2-873e-240e215b5c53, lat: 53.99624208, long:11.99729153, 
id: 1c8add64-49ac-48bd-976d-102c00ba767a, lat: 50.76603154, long:15.32568838, 
id: 4255637e-765a-4c5b-a027-18500c706e5c, lat: 52.81803777, long:18.48478558, 
id: 475ce819-3d51-404d-b5bb-bcb5e2e93271, lat: 50.88524684, long:8.58325545, 
id: 8ae458d8-4e52-4419-8d61-68e901396e1e, lat: 50.39361345, long:16.07296372, 
id: 9b176389-9605-47a2-8b38-738586e52b23, lat: 50.31165423, long:17.02898617, 
id: c57e3b68-0169-404e-81a3-cab3cbbcb3a6, lat: 54.53392577, long:17.76387744, 
id: 5b751e0b-496d-4786-8d35-8e6115983812, lat: 54.21381605, long:14.30414439, 
id: 9c95e4c9-b588-4514-9c44-445d01c9905b, lat: 49.43280389, long:11.6462163, 
id: 87db55ad-bb6c-408c-8484-71c7594d1eba, lat: 53.77310223, long:8.49286113, 
id: c123b8ed-1ccb-429c-a233-b4056dd9ee96, lat: 52.60915594, long:11.90943351, 
id: 645b9771-c991-4273-b3aa-11de0e22b600, lat: 53.69278697, long:13.76580937, 
id: 8d699271-ba37-4776-86d8-0684e4a267ca, lat: 54.23104626, long:9.91021333, 
id: 5c6d8270-7bb8-4b4a-9b2a-dbb45cb77076, lat: 53.53601399, long:19.09097376, 
id: 51959cd1-8e00-4284-a604-d4122b854a9b, lat: 54.88574896, long:13.24877082, 
id: e48681c2-b6ee-4021-916b-63656406083c, lat: 50.76922633, long:9.33578649, 
id: e630b640-8e61-477b-865e-3074501e7684, lat: 53.17957475, long:18.15620449, 
id: c8194d7a-31a0-42a5-8e09-31a989ab7d84, lat: 50.73867684, long:11.18697868, 
id: c02de010-c645-49b8-a612-1878bd63c697, lat: 54.3858458, long:15.46034336, 
id: 7c25707b-4861-4562-a5db-14650271ba1b, lat: 53.93965716, long:9.80574341, 
id: c55e5205-db8b-4e47-a44e-b97610186176, lat: 53.92269472, long:11.31265273, 
id: 60b43d2e-7e83-4e8c-9582-4cb037427982, lat: 54.47228018, long:9.00937991, 
id: 445dd175-a7b8-40e0-b7e9-7e40e62b374e, lat: 54.20887004, long:12.98170506, 
id: b31c0060-2a52-472a-801d-96ec60dc7e84, lat: 53.02206683, long:15.83522806, 
id: 9183c39b-0687-4ea7-a4bb-4434b998d319, lat: 51.25840159, long:10.73309898, 
id: e9b5de64-5a9c-4e02-977e-4839b4d803b2, lat: 52.60308291, long:18.13747238, 
id: a13b2c96-30e2-4e90-a270-224ea05d3b81, lat: 50.95495777, long:11.66972499, 
id: 45bc6d22-a541-48e5-9d12-ddd9517e8627, lat: 54.06174707, long:16.27660553, 
id: 4b1e7e23-c8c4-4a5c-bc14-2997a388ec24, lat: 51.56778899, long:15.58561656, 
id: 9930e54b-aedc-43b4-a46e-49388ac303a2, lat: 53.87672336, long:8.38538246, 
id: 756573ba-98e5-4b45-aa37-132e9c44a6a5, lat: 53.47222091, long:13.86722961, 
id: 9d76e430-d988-41db-8818-214e685687c1, lat: 51.03240828, long:17.76545195, 
id: 08c7b384-cb54-4199-8a9c-85b8461e41be, lat: 55.05128769, long:9.46860189, 
id: 91bd724b-d1b9-4cb7-90da-e3be6d47e658, lat: 50.23106141, long:15.03967744, 
id: d2356922-bbe6-499c-8037-733e6c3a5658, lat: 51.02900027, long:10.72179999, 
id: 26b52982-2651-492b-a0b5-ab31739b2846, lat: 54.3149436, long:15.53183339, 
id: e49a0a48-1889-4d3d-81a5-c1b2e5190922, lat: 54.10358839, long:9.29488901, 
id: b4252028-3587-47e8-94e9-0c89c15ba0e2, lat: 54.79103796, long:9.35843519, 
id: acb13401-1d18-4080-916a-6d4cc209ac0c, lat: 49.07331206, long:14.13135556, 
id: b8a2c890-b4bc-45e4-a125-9a5617a7c164, lat: 51.75800183, long:15.06559858, 
id: 634607e4-55a3-4020-9b9d-955eab9aa238, lat: 50.11848355, long:16.5567304, 
id: c7233647-7194-4ed5-a799-c602102957de, lat: 51.34208499, long:8.40833082, 
id: d7d3e893-9e7a-4872-b756-105bdc577166, lat: 55.83900045, long:13.72549518, 
id: cab0ebd3-149b-4bd7-9862-e3e11a9273d5, lat: 52.4600697, long:13.57456475, 
id: 02335e27-e152-4771-9a6b-5b88c3b29eb9, lat: 53.14583735, long:13.23311883, 
id: 9c535d20-48b0-4109-a24e-6abb189e79ec, lat: 52.03622652, long:10.39682357, 
id: e58c445b-a137-41cd-8c47-709de2da580a, lat: 52.77347014, long:17.18557356, 
id: 0e94a03a-6782-4d17-a22b-7988c2c9b82c, lat: 53.5644624, long:14.298548, 
id: 076a2996-9c5e-41ea-9bd4-167c8510b521, lat: 55.79634943, long:15.39963148, 
id: 274b7a15-b743-4be9-9197-e6ce13e5706a, lat: 55.35484295, long:13.17714545, 
id: 0214895b-8d9e-4047-b7b4-2bbca908a998, lat: 54.62247563, long:17.7409478, 
id: 020c299a-9ec9-4b57-adbc-8db0a4bb924e, lat: 49.17026428, long:13.1369314, 
id: b89cdc5d-5460-4366-820e-4e4a79aaca1c, lat: 55.52609591, long:11.84519126, 
id: 296d9522-88a5-427b-baea-b3a01492e5d5, lat: 53.02850928, long:7.69460747, 
id: 3e9e4016-6e76-4a37-9aae-98a058ba7ab8, lat: 54.8377297, long:12.40632472, 
id: 1a3b6dca-a1c9-4b9b-b280-007a040cc4da, lat: 52.33706243, long:14.41390135, 
id: 58b506a9-5160-45cb-aa21-9e4bd8823bb7, lat: 53.84944865, long:9.20860994, 
id: 11954e92-0b0e-4880-ab1e-4e371728b21a, lat: 51.33110651, long:10.72335231, 
id: 0d3ac8e2-0ea5-4896-96bc-097038b6749a, lat: 50.47928915, long:12.26582983, 
id: ae658664-4948-4689-9508-562519647ce8, lat: 50.52072467, long:11.68638368, 
id: 2156e379-558b-41bd-a197-353668a98837, lat: 49.93577472, long:14.61638076, 
id: 56c823dd-6358-44da-b0bc-b122448ba8a0, lat: 50.96772718, long:18.19835685, 
id: c628ee54-5738-4b6c-a0aa-30cc3a24b739, lat: 51.70712302, long:8.82797527, 
id: ede6ddc3-7478-4eb8-9c13-524c66836ad3, lat: 50.41262702, long:15.61003784, 
id: a19eb376-ec95-4724-868c-b2c03273420d, lat: 50.41080478, long:16.31044086, 
id: 2b518b9b-a6e9-40ea-93d3-395e1dd70101, lat: 55.29513559, long:14.15817799, 
id: 8dab33de-1acd-401c-a58d-339085551b3e, lat: 55.01498334, long:10.42566741, 
id: 2089da46-22d2-4025-a001-785158b39d92, lat: 50.34729344, long:13.54293901, 
id: 1a9186c0-b7a0-4943-8023-7cdc5818ed27, lat: 52.89800938, long:10.30510716, 
id: 9860207d-0794-445e-ac85-3737837d0192, lat: 50.30293192, long:9.02896269, 
id: 591b3071-496b-4333-87b2-77caebc70dc6, lat: 55.65312077, long:10.73056864, 
id: 59de56b1-cb89-4860-902e-46ee6413989e, lat: 50.71647851, long:15.42105892, 
id: d959d9c8-a9e5-4545-8810-cc85ab369241, lat: 55.5888469, long:11.28850181, 
id: 24914a33-5039-4013-90c5-5d3edea15063, lat: 52.58064391, long:18.1323294, 
id: da120b33-a788-4878-bdba-6be47441eaea, lat: 49.90503875, long:17.06665145, 
id: ee35c9d1-5305-4b17-98a2-732e700ac078, lat: 52.91906793, long:11.09386322, 
id: e21815e2-b54e-4b2b-b95c-1c44736841d1, lat: 50.6464531, long:11.3346576, 
id: b13eb6e7-85ba-469e-bca3-a7000e54d143, lat: 51.3151166, long:11.05546883, 
id: 95691b2c-b47a-4795-94c3-999b5c55480d, lat: 51.75129516, long:12.24807106, 
id: 5e9ca85e-5d35-4c15-b776-7a70538e8009, lat: 51.43255404, long:16.59267184, 
id: 6de7301c-637b-40d1-93c2-8052e579e8bd, lat: 51.03745163, long:18.06159763, 
id: 304dec77-4b1b-47b6-b470-0e7713a7401a, lat: 55.42851241, long:11.0878982, 
id: e6e2c505-4477-4aa9-9167-80676641c3cd, lat: 51.00961468, long:16.47033122, 
id: 33a0c678-b420-4d81-9434-10a3e8258576, lat: 54.54000286, long:11.13222923, 
id: 57968d72-293d-4e9a-ad44-b9e8b1c248b2, lat: 50.46677051, long:9.37670752, 
id: aca565e6-a34e-4a06-819d-8b302cb69b88, lat: 49.4698785, long:10.94436186, 
id: e23ab30d-382b-4001-ba35-be8668b52ad0, lat: 54.66576406, long:11.96141992, 
id: 80025412-5229-4570-a006-059dc8791e7b, lat: 52.1076923, long:16.12623141, 
id: 623d199d-4a9e-41d4-8b91-7780899363d7, lat: 52.79060335, long:10.15197072, 
id: 30b2aad1-330e-4ab6-b74c-0bab8bc822e6, lat: 52.92958408, long:18.17871338, 
id: 8e0c61bb-8e5d-4ae5-a44d-d62796b8ce7a, lat: 55.5577893, long:11.92194839, 
id: 33c9e424-07a6-440e-a944-c90da8003dee, lat: 55.3007767, long:17.03432975, 
id: 3c02911d-3d84-4ba0-904c-c99d35140368, lat: 51.81971893, long:16.62442137, 
id: 7226d3be-2202-4875-baed-4955581aaa8a, lat: 49.06015373, long:13.83492254, 
id: 2e3554b6-bd58-458c-94b1-78338a6cb0a7, lat: 50.73040578, long:14.94922475, 
id: a7659473-7804-4e19-80c0-2ee7b6d34357, lat: 50.58769645, long:16.92288701, 
id: 05d07502-b345-4133-b6b0-668ca44a5e95, lat: 52.14117218, long:13.2234046, 
id: 9213b686-0c69-48d5-8500-eacb93e8bb1e, lat: 54.75006299, long:12.16116468, 
id: 846359a7-601c-49d5-8e5d-233e7c6643d3, lat: 54.02267137, long:15.49004342, 
id: 4a37232a-563b-4901-9c67-e4a1b38a4bc1, lat: 52.83941984, long:15.71063312, 
id: ceaa3ede-1805-4c41-a2d1-79b1c74c033b, lat: 53.35397848, long:13.2690475, 
id: 70344018-13be-46c6-97cb-bb09339b676d, lat: 51.52675083, long:16.69218761, 
id: 36a54555-a6c7-4928-a66d-874de517aa02, lat: 53.15784361, long:7.95634777, 
id: d01ab51e-8772-43e4-9e0c-299544ba0ecd, lat: 49.41886885, long:14.21245071, 
id: e1c37a32-6da8-4d3c-a35a-460a337aa29d, lat: 53.79490625, long:13.42119287, 
id: 10da66e2-9e1e-4056-b97b-eb4e1ea67e2e, lat: 55.29304518, long:14.32107931, 
id: 6e28cbab-ab2b-49a1-8624-862034d941d8, lat: 49.17001777, long:12.47372428, 
id: e3630835-9681-4370-a928-1197b4b9472c, lat: 53.91161966, long:9.74083473, 
id: 091ce371-bb42-4097-b82a-104bd1c11ab4, lat: 54.59982307, long:14.97681245, 
id: 95de56a9-a685-48a2-aa0b-4a0d6e97be1e, lat: 55.28144035, long:15.74193287, 
id: 59254a15-e2ba-47e1-8191-8273eb92487e, lat: 53.04193938, long:18.07533129, 
id: d73e786d-316b-4d71-b707-e13d889ce800, lat: 54.34603036, long:10.3500611, 
id: 86ec2bb0-1b75-4c0b-a864-926559e021c5, lat: 51.90479662, long:11.57811374, 
id: 1b680468-5da9-4c46-81c1-5e3652e06ca9, lat: 51.78924284, long:14.41786505, 
id: 06cd3523-ad80-47ea-85b5-7e65c539047a, lat: 55.01190569, long:12.44057056, 
id: c065482a-2a6c-4aa6-b52d-10c36106951e, lat: 54.4785765, long:15.33199873, 
id: b1689abd-a140-4801-a855-2abb26b4de88, lat: 51.83443039, long:18.57890085, 
id: cbd17580-3862-47ba-a7c6-329270b5e3ec, lat: 52.48347174, long:11.32880052, 
id: d5a9a8dc-8349-44b4-8a01-da2427de72e0, lat: 54.07562123, long:11.01638866, 
id: 8b974287-bd60-4bd5-aece-98253b1a26cb, lat: 51.65638883, long:17.15086607, 
id: d7a91b86-a397-4e38-97cd-cccc65dde29a, lat: 52.57689185, long:10.39274013, 
id: 2beccbe4-3786-4de2-84b9-9eddb907d210, lat: 51.48885392, long:10.63110393, 
id: 4e0a318d-78c0-448d-b12a-33b8aedd1a92, lat: 52.41873701, long:7.9545746, 
id: 59b2eac5-e354-4043-9688-ab229829aacc, lat: 50.36568411, long:9.90701618, 
id: 6ee065cc-8607-4e72-b169-344e317a013e, lat: 51.9049196, long:9.58288352, 
id: 360ee0c3-ad64-4a1b-9289-aa40742b4594, lat: 49.28775266, long:14.2772846, 
id: 469dc15d-6726-4e7d-8da4-d2e10e5a7669, lat: 52.110815, long:12.59116312, 
id: c8c37d5a-7e0c-4e6b-8e24-35397003378b, lat: 54.26095211, long:12.60396437, 
id: 079b9bc5-942d-4e17-adb3-a09c1e678458, lat: 51.07247685, long:14.85209489, 
id: c8da6681-4e80-4b66-b2c2-b4eea78c5e54, lat: 52.84939469, long:9.07183298, 
id: 0593c93b-de35-4310-91ae-51911ec2ea06, lat: 52.11523677, long:8.74243667, 
id: 9aac018d-5314-4b17-abc6-7c132266c90b, lat: 53.18930286, long:16.82511192, 
id: d3b64719-3b9a-40b7-81e6-56dd94a5a794, lat: 52.51803419, long:12.81343141, 
id: cd8e2eb9-2653-4a28-9576-56cb1c64ad61, lat: 51.24671924, long:10.82462227, 
id: b485c102-43a6-424d-a24a-6ed4b1619b2a, lat: 50.03542148, long:11.18853594, 
id: a39a999d-5933-46de-873c-499848042841, lat: 49.75057861, long:11.3282497, 
id: 744268cd-6390-4364-acc6-a2a42ac3689d, lat: 49.92617816, long:16.39996109, 
id: 6c0c6b8a-d3eb-4562-9689-ac24b463a203, lat: 52.83951937, long:9.80660047, 
id: 9736e854-1300-47b1-934b-80a153d068b2, lat: 53.36428118, long:9.09247324, 
id: 0be5c08e-8a64-42a5-b9a6-5a5a029c6006, lat: 52.58877302, long:16.0848716, 
id: 0cd6e974-de75-4a0d-9260-45a11e4e52d3, lat: 50.42998651, long:18.09761238, 
id: 11a8e520-b252-4468-b614-2eea785e32d1, lat: 54.3191974, long:9.1490938, 
id: 164e3b51-8e01-49e0-82ac-714506bb0132, lat: 49.13112092, long:15.04975642, 
id: e14b1836-a4de-440e-be02-5ed4a8a23c65, lat: 53.44936467, long:12.97008129, 
id: d4a2c346-82e1-4a19-80cd-dbd4cb23c063, lat: 51.48424051, long:18.23247916, 
id: 6d1e805a-e5ad-4803-9095-0d3cba912092, lat: 53.34348852, long:15.45792001, 
id: 696aaa31-a84b-411d-aa52-5c193d1205b5, lat: 52.24567535, long:16.41991021, 
id: 7ac323a2-8546-4724-9dea-1dc30ec458b0, lat: 50.42839648, long:17.42549586, 
id: 569de5ea-8678-4263-b263-17234bd5b3c8, lat: 54.3840004, long:13.24349477, 
id: e411958b-1605-4459-8d32-a3a799084d93, lat: 50.56350532, long:18.14592915, 
id: 713e07b0-19b3-48d9-bcb2-e7b088b83eb1, lat: 54.90870621, long:15.94045452, 
id: 85c1d51d-519b-485b-b1e9-663025222161, lat: 51.07873547, long:14.76397687, 
